time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,0,0,1,1
2024-11-15 00:00:00+00:00,0,0,5,3
2024-11-16 00:00:00+00:00,0,0,1,1
2024-11-17 00:00:00+00:00,0,0,2,2
2024-11-18 00:00:00+00:00,0,0,6,2
2024-11-19 00:00:00+00:00,5,2,35,6
2024-11-20 00:00:00+00:00,1,1,28,5
2024-11-21 00:00:00+00:00,1,1,20,5
2024-11-22 00:00:00+00:00,0,0,4,3
2024-11-23 00:00:00+00:00,1,1,1,1
2024-11-24 00:00:00+00:00,3,2,0,0
2024-11-25 00:00:00+00:00,1,1,31,2
2024-11-26 00:00:00+00:00,1,1,2,2
2024-11-27 00:00:00+00:00,6,6,46,3
2024-11-28 00:00:00+00:00,2,2,4,2
2024-11-29 00:00:00+00:00,8,4,24,1
2024-11-30 00:00:00+00:00,9,4,9,2
2024-12-01 00:00:00+00:00,8,6,4,2
2024-12-02 00:00:00+00:00,5,3,27,3
2024-12-03 00:00:00+00:00,4,3,47,6
2024-12-04 00:00:00+00:00,2,1,34,6
2024-12-05 00:00:00+00:00,6,4,41,4
2024-12-06 00:00:00+00:00,8,4,75,4
2024-12-07 00:00:00+00:00,7,5,2,2
2024-12-08 00:00:00+00:00,19,4,3,2
2024-12-09 00:00:00+00:00,21,7,66,6
2024-12-10 00:00:00+00:00,15,5,16,7
2024-12-11 00:00:00+00:00,13,8,166,11
2024-12-12 00:00:00+00:00,19,5,62,4
2024-12-13 00:00:00+00:00,50,9,144,5
2024-12-14 00:00:00+00:00,6,3,2,1
2024-12-15 00:00:00+00:00,14,6,23,3
2024-12-16 00:00:00+00:00,12,3,65,6
2024-12-17 00:00:00+00:00,4,1,131,8
2024-12-18 00:00:00+00:00,11,5,43,6
2024-12-19 00:00:00+00:00,7,5,141,30
2024-12-20 00:00:00+00:00,11,5,90,16
2024-12-21 00:00:00+00:00,6,3,14,3
2024-12-22 00:00:00+00:00,1,1,7,7
2024-12-23 00:00:00+00:00,7,3,59,6
2024-12-24 00:00:00+00:00,1,1,5,2
2024-12-25 00:00:00+00:00,3,1,3,3
2024-12-26 00:00:00+00:00,2,1,10,3
2024-12-27 00:00:00+00:00,2,1,11,4
2024-12-28 00:00:00+00:00,2,2,2,1
2024-12-29 00:00:00+00:00,2,1,3,2
2024-12-30 00:00:00+00:00,0,0,3,2
2024-12-31 00:00:00+00:00,0,0,9,1
2025-01-01 00:00:00+00:00,1,1,2,2
2025-01-02 00:00:00+00:00,2,1,40,7
2025-01-03 00:00:00+00:00,5,4,32,4
2025-01-04 00:00:00+00:00,0,0,4,2
2025-01-05 00:00:00+00:00,2,1,4,3
2025-01-06 00:00:00+00:00,2,1,22,8
2025-01-07 00:00:00+00:00,2,2,14,5
2025-01-08 00:00:00+00:00,1,1,9,8
2025-01-09 00:00:00+00:00,0,0,35,12
2025-01-10 00:00:00+00:00,3,3,142,33
2025-01-11 00:00:00+00:00,18,17,24,10
2025-01-12 00:00:00+00:00,1,1,8,6
2025-01-13 00:00:00+00:00,3,2,51,10
2025-01-14 00:00:00+00:00,1,1,38,11
2025-01-15 00:00:00+00:00,1,1,25,11
2025-01-16 00:00:00+00:00,0,0,10,5
2025-01-17 00:00:00+00:00,3,3,2,1
2025-01-18 00:00:00+00:00,2,1,8,4
2025-01-19 00:00:00+00:00,2,1,0,0
2025-01-20 00:00:00+00:00,3,1,1,1
2025-01-21 00:00:00+00:00,1,1,13,7
2025-01-22 00:00:00+00:00,1,1,0,0
2025-01-23 00:00:00+00:00,2,1,39,11
2025-01-24 00:00:00+00:00,0,0,6,2
2025-01-25 00:00:00+00:00,1,1,0,0
2025-01-26 00:00:00+00:00,0,0,3,2
2025-01-27 00:00:00+00:00,3,2,8,3
2025-01-28 00:00:00+00:00,2,2,10,5
2025-01-29 00:00:00+00:00,1,1,0,0
2025-01-30 00:00:00+00:00,5,2,81,2
2025-01-31 00:00:00+00:00,6,3,10,4
2025-02-01 00:00:00+00:00,5,3,0,0
2025-02-02 00:00:00+00:00,6,3,0,0
2025-02-03 00:00:00+00:00,10,6,0,0
2025-02-04 00:00:00+00:00,1,1,8,3
2025-02-05 00:00:00+00:00,6,3,5,2
2025-02-06 00:00:00+00:00,2,2,1,1
2025-02-07 00:00:00+00:00,5,3,2,2
2025-02-08 00:00:00+00:00,5,3,6,2
2025-02-09 00:00:00+00:00,4,2,0,0
2025-02-10 00:00:00+00:00,2,2,5,2
2025-02-11 00:00:00+00:00,5,3,4,1
2025-02-12 00:00:00+00:00,3,3,5,3
2025-02-13 00:00:00+00:00,17,8,6,1
2025-02-14 00:00:00+00:00,2,2,3,3
2025-02-15 00:00:00+00:00,5,3,0,0
2025-02-16 00:00:00+00:00,4,2,28,1
2025-02-17 00:00:00+00:00,5,3,3,3
2025-02-18 00:00:00+00:00,4,2,1,1
2025-02-19 00:00:00+00:00,2,2,1,1
2025-02-20 00:00:00+00:00,1,1,12,4
2025-02-21 00:00:00+00:00,1,1,15,4
2025-02-22 00:00:00+00:00,1,1,2,1
2025-02-23 00:00:00+00:00,6,2,3,1
2025-02-24 00:00:00+00:00,4,2,4,3
2025-02-25 00:00:00+00:00,1,1,4,3
2025-02-26 00:00:00+00:00,3,2,4,2
2025-02-27 00:00:00+00:00,4,2,2,2
2025-02-28 00:00:00+00:00,5,2,0,0
2025-03-01 00:00:00+00:00,5,2,0,0
2025-03-02 00:00:00+00:00,6,3,0,0
2025-03-03 00:00:00+00:00,5,2,1,1
2025-03-04 00:00:00+00:00,5,2,6,2
2025-03-05 00:00:00+00:00,5,2,0,0
2025-03-06 00:00:00+00:00,6,4,21,3
2025-03-07 00:00:00+00:00,1,1,6,1
2025-03-08 00:00:00+00:00,6,3,22,2
2025-03-09 00:00:00+00:00,1,1,3,1
2025-03-10 00:00:00+00:00,5,3,10,3
2025-03-11 00:00:00+00:00,6,3,52,5
2025-03-12 00:00:00+00:00,2,2,8,2
2025-03-13 00:00:00+00:00,4,3,37,4
2025-03-14 00:00:00+00:00,1,1,21,4
2025-03-15 00:00:00+00:00,2,2,1,1
2025-03-16 00:00:00+00:00,5,3,14,2
2025-03-17 00:00:00+00:00,7,5,10,2
2025-03-18 00:00:00+00:00,1,1,17,3
2025-03-19 00:00:00+00:00,7,3,7,4
2025-03-20 00:00:00+00:00,12,7,13,4
2025-03-21 00:00:00+00:00,7,4,3,1
2025-03-22 00:00:00+00:00,8,5,1,1
2025-03-23 00:00:00+00:00,2,2,4,1
2025-03-24 00:00:00+00:00,7,3,18,3
2025-03-25 00:00:00+00:00,7,4,0,0
2025-03-26 00:00:00+00:00,2,2,17,5
2025-03-27 00:00:00+00:00,1,1,6,3
2025-03-28 00:00:00+00:00,10,3,0,0
2025-03-29 00:00:00+00:00,6,4,1,1
2025-03-30 00:00:00+00:00,5,3,0,0
2025-03-31 00:00:00+00:00,6,6,56,4
2025-04-01 00:00:00+00:00,2,2,10,1
2025-04-02 00:00:00+00:00,6,3,27,3
2025-04-03 00:00:00+00:00,2,2,8,2
2025-04-04 00:00:00+00:00,5,5,14,4
2025-04-05 00:00:00+00:00,7,4,2,1
2025-04-06 00:00:00+00:00,5,2,1,1
2025-04-07 00:00:00+00:00,1,1,13,3
2025-04-08 00:00:00+00:00,3,2,33,1
2025-04-09 00:00:00+00:00,1,1,3,2
2025-04-10 00:00:00+00:00,11,5,21,4
2025-04-11 00:00:00+00:00,5,2,0,0
2025-04-12 00:00:00+00:00,4,2,0,0
2025-04-13 00:00:00+00:00,3,2,0,0
2025-04-14 00:00:00+00:00,1,1,0,0
2025-04-15 00:00:00+00:00,5,2,5,4
2025-04-16 00:00:00+00:00,4,2,17,5
2025-04-17 00:00:00+00:00,2,2,16,3
