time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,0,0,1,1
2024-11-15 00:00:00+00:00,0,0,5,3
2024-11-16 00:00:00+00:00,0,0,1,1
2024-11-17 00:00:00+00:00,0,0,2,2
2024-11-18 00:00:00+00:00,0,0,6,2
2024-11-19 00:00:00+00:00,5,2,35,6
2024-11-20 00:00:00+00:00,1,1,28,5
2024-11-21 00:00:00+00:00,1,1,20,5
2024-11-22 00:00:00+00:00,0,0,4,3
2024-11-23 00:00:00+00:00,1,1,1,1
2024-11-24 00:00:00+00:00,3,2,0,0
2024-11-25 00:00:00+00:00,1,1,31,2
2024-11-26 00:00:00+00:00,1,1,2,2
2024-11-27 00:00:00+00:00,6,6,46,3
2024-11-28 00:00:00+00:00,2,2,4,2
2024-11-29 00:00:00+00:00,8,4,24,1
2024-11-30 00:00:00+00:00,9,4,9,2
2024-12-01 00:00:00+00:00,8,6,4,2
2024-12-02 00:00:00+00:00,5,3,27,3
2024-12-03 00:00:00+00:00,4,3,47,6
2024-12-04 00:00:00+00:00,2,1,34,6
2024-12-05 00:00:00+00:00,6,4,41,4
2024-12-06 00:00:00+00:00,8,4,75,4
2024-12-07 00:00:00+00:00,7,5,2,2
2024-12-08 00:00:00+00:00,19,4,3,2
2024-12-09 00:00:00+00:00,21,7,66,6
2024-12-10 00:00:00+00:00,15,5,16,7
2024-12-11 00:00:00+00:00,13,8,166,11
2024-12-12 00:00:00+00:00,19,5,62,4
2024-12-13 00:00:00+00:00,50,9,144,5
2024-12-14 00:00:00+00:00,6,3,2,1
2024-12-15 00:00:00+00:00,14,6,23,3
2024-12-16 00:00:00+00:00,12,3,65,6
2024-12-17 00:00:00+00:00,4,1,131,8
2024-12-18 00:00:00+00:00,11,5,43,6
2024-12-19 00:00:00+00:00,7,5,141,30
2024-12-20 00:00:00+00:00,11,5,90,16
2024-12-21 00:00:00+00:00,6,3,14,3
2024-12-22 00:00:00+00:00,1,1,7,7
2024-12-23 00:00:00+00:00,7,3,59,6
2024-12-24 00:00:00+00:00,1,1,5,2
2024-12-25 00:00:00+00:00,3,1,3,3
2024-12-26 00:00:00+00:00,2,1,10,3
2024-12-27 00:00:00+00:00,2,1,11,4
2024-12-28 00:00:00+00:00,2,2,2,1
2024-12-29 00:00:00+00:00,2,1,3,2
2024-12-30 00:00:00+00:00,0,0,3,2
2024-12-31 00:00:00+00:00,0,0,9,1
2025-01-01 00:00:00+00:00,0,0,2,2
